participant.code,participant.label,player.treatment,player.explosion,player.pumps,player.tentation,player.tentation_limite,player.tentation_tirage,player.tentation_appliquee,player.payoff,subsession.round_number,subsession.subsession_type,session.code,session.label,CSP,can,type,gender,age
512990hw,93.0,4,11,4,NA,NA,NA,0,0.6,1,1,dhy9fqbt,rmo1,2,5,2,2,21
90snqea7,120.0,0,38,38,NA,NA,NA,0,5.7,1,1,dhy9fqbt,rmo1,1,4,2,1,38
lcpr6aej,195.0,0,20,15,NA,NA,NA,0,2.25,1,1,dhy9fqbt,rmo1,3,5,2,1,64
litoex8p,224.0,4,38,15,NA,NA,NA,0,2.25,1,1,dhy9fqbt,rmo1,4,4,2,2,21
dq2ihb20,340.0,4,11,64,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,2,3,2,2,42
u6rok4eh,380.0,0,43,3,NA,NA,NA,0,0.45,1,1,dhy9fqbt,rmo1,2,3,2,1,48
yhlv6pjd,395.0,4,44,14,NA,NA,NA,0,2.1,1,1,dhy9fqbt,rmo1,2,3,2,1,56
5vj6xosr,486.0,4,44,12,NA,NA,NA,0,1.8,1,1,dhy9fqbt,rmo1,5,3,2,2,59
9ke1clt6,546.0,4,42,35,NA,NA,NA,0,5.25,1,1,dhy9fqbt,rmo1,1,7,2,1,40
dtms80pl,574.0,0,38,10,NA,NA,NA,0,1.5,1,1,dhy9fqbt,rmo1,4,3,2,2,28
y9hxec63,715.0,0,23,16,NA,NA,NA,0,2.4,1,1,dhy9fqbt,rmo1,3,4,2,1,69
uno3sb9r,736.0,4,60,40,NA,NA,NA,0,6,1,1,dhy9fqbt,rmo1,3,7,2,2,65
9z1zoyne,805.0,0,59,10,NA,NA,NA,0,1.5,1,1,dhy9fqbt,rmo1,4,7,2,1,20
332d53w3,816.0,4,9,24,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,1,3,2,2,26
kz0nvwk4,908.0,0,46,45,NA,NA,NA,0,6.75,1,1,dhy9fqbt,rmo1,1,3,2,1,36
103gfezx,974.0,4,36,22,NA,NA,NA,0,3.3,1,1,dhy9fqbt,rmo1,1,4,2,1,44
l23rvi5a,1034.0,0,18,5,NA,NA,NA,0,0.75,1,1,dhy9fqbt,rmo1,2,3,2,1,25
low6fzdk,1079.0,0,4,5,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,2,6,2,1,55
lfm2rs6h,1182.0,0,57,36,NA,NA,NA,0,5.4,1,1,dhy9fqbt,rmo1,2,3,2,2,35
4j3w3gx7,1222.0,4,64,50,NA,NA,NA,0,7.5,1,1,dhy9fqbt,rmo1,4,4,2,2,28
pamm49pp,1292.0,0,60,23,NA,NA,NA,0,3.45,1,1,dhy9fqbt,rmo1,2,4,2,1,43
8wrtkw8x,1332.0,4,48,34,NA,NA,NA,0,5.1,1,1,dhy9fqbt,rmo1,2,7,2,1,35
a9ugwazt,1408.0,0,61,20,NA,NA,NA,0,3,1,1,dhy9fqbt,rmo1,1,5,2,2,30
q4ft5k0m,1421.0,4,29,29,NA,NA,NA,0,4.35,1,1,dhy9fqbt,rmo1,2,4,2,1,21
wvkk8qyk,1452.0,0,1,24,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,2,5,2,1,36
nezqor0x,1486.0,4,19,12,NA,NA,NA,0,1.8,1,1,dhy9fqbt,rmo1,5,3,2,1,43
9vjkm92i,1503.0,0,29,49,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,2,5,2,2,33
eqdysrm9,1564.0,4,26,50,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,5,3,2,2,31
9mvrqcs8,1611.0,0,37,52,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,1,4,2,1,54
f5xk5nfj,1643.0,4,49,5,NA,NA,NA,0,0.75,1,1,dhy9fqbt,rmo1,1,4,2,2,31
rp9iq1mo,1738.0,0,4,55,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,2,3,2,2,35
8p3kmeda,1783.0,0,26,57,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,1,3,2,1,59
31yqqj2h,1815.0,0,17,17,NA,NA,NA,0,2.55,1,1,dhy9fqbt,rmo1,2,4,2,1,39
71rkli6a,1891.0,0,32,35,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,3,3,2,1,63
jyzc7cgk,2110.0,0,45,5,NA,NA,NA,0,0.75,1,1,dhy9fqbt,rmo1,2,5,2,1,43
89s3gbg6,2187.0,4,27,9,NA,NA,NA,0,1.35,1,1,dhy9fqbt,rmo1,1,4,2,1,48
1ts59tmq,2214.0,0,43,33,NA,NA,NA,0,4.95,1,1,dhy9fqbt,rmo1,2,5,2,2,23
i4w1muct,2246.0,4,40,64,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,3,3,2,2,60
42bns9cy,2325.0,4,27,30,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,3,7,2,2,63
th6lg3nl,2385.0,4,27,50,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,2,4,2,1,43
rjx8ue7x,2415.0,0,14,25,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,5,3,2,1,44
zp6v12zl,2479.0,4,12,43,NA,NA,NA,0,0,1,1,dhy9fqbt,rmo1,2,4,2,1,43
9vq8dsus,2582.0,4,23,20,NA,NA,NA,0,3,1,1,dhy9fqbt,rmo1,2,7,2,1,22
