participant.code,participant.label,player.isIE,player.paid,player.treatment,player.explosion,player.pumps,player.pastille,player.pastille_value,player.pastille_color,player.limite,player.limite_value,player.autoevaluation,player.can_mise_excessive,player.can_mise_excitation,player.can_mise_rejouee,player.can_mise_vente,player.can_jeu_probleme,player.can_jeu_sante,player.can_jeu_critique,player.can_jeu_finances,player.can_jeu_culpabilite,player.can_indice_value,player.can_indice_categorie,player.tentation,player.tentation_limite,player.tentation_tirage,player.tentation_appliquee,player.avis_video,player.payoff,subsession.round_number,subsession.subsession_type,session.code,session.label
512990hw,93.0,False,0,4,11,4.0,,,,,,,,,,,,,,,,,,,,,0,,0.6,1,1,dhy9fqbt,rmo1
90snqea7,120.0,False,0,0,38,38.0,,,,,,,,,,,,,,,,,,,,,0,,5.7,1,1,dhy9fqbt,rmo1
lcpr6aej,195.0,False,0,0,20,15.0,,,,,,,,,,,,,,,,,,,,,0,,2.25,1,1,dhy9fqbt,rmo1
litoex8p,224.0,False,1,4,38,15.0,,,,,,,,,,,,,,,,,,,,,0,,2.25,1,1,dhy9fqbt,rmo1
dq2ihb20,340.0,False,0,4,11,64.0,,,,,,,,,,,,,,,,,,,,,0,,0.0,1,1,dhy9fqbt,rmo1
u6rok4eh,380.0,False,0,0,43,3.0,,,,,,,,,,,,,,,,,,,,,0,,0.45,1,1,dhy9fqbt,rmo1
yhlv6pjd,395.0,False,1,4,44,14.0,,,,,,,,,,,,,,,,,,,,,0,,2.1,1,1,dhy9fqbt,rmo1
5vj6xosr,486.0,False,0,4,44,12.0,,,,,,,,,,,,,,,,,,,,,0,,1.8,1,1,dhy9fqbt,rmo1
9ke1clt6,546.0,False,0,4,42,35.0,,,,,,,,,,,,,,,,,,,,,0,,5.25,1,1,dhy9fqbt,rmo1
dtms80pl,574.0,False,0,0,38,10.0,,,,,,,,,,,,,,,,,,,,,0,,1.5,1,1,dhy9fqbt,rmo1
y9hxec63,715.0,False,0,0,23,16.0,,,,,,,,,,,,,,,,,,,,,0,,2.4,1,1,dhy9fqbt,rmo1
uno3sb9r,736.0,False,0,4,60,40.0,,,,,,,,,,,,,,,,,,,,,0,,6.0,1,1,dhy9fqbt,rmo1
9z1zoyne,805.0,False,0,0,59,10.0,,,,,,,,,,,,,,,,,,,,,0,,1.5,1,1,dhy9fqbt,rmo1
332d53w3,816.0,False,0,4,9,24.0,,,,,,,,,,,,,,,,,,,,,0,,0.0,1,1,dhy9fqbt,rmo1
kz0nvwk4,908.0,False,0,0,46,45.0,,,,,,,,,,,,,,,,,,,,,0,,6.75,1,1,dhy9fqbt,rmo1
103gfezx,974.0,False,0,4,36,22.0,,,,,,,,,,,,,,,,,,,,,0,,3.3,1,1,dhy9fqbt,rmo1
l23rvi5a,1034.0,False,0,0,18,5.0,,,,,,,,,,,,,,,,,,,,,0,,0.75,1,1,dhy9fqbt,rmo1
low6fzdk,1079.0,True,0,0,4,5.0,,,,,,,,,,,,,,,,,,,,,0,,0.0,1,1,dhy9fqbt,rmo1
lfm2rs6h,1182.0,False,0,0,57,36.0,,,,,,,,,,,,,,,,,,,,,0,,5.4,1,1,dhy9fqbt,rmo1
4j3w3gx7,1222.0,False,0,4,64,50.0,,,,,,,,,,,,,,,,,,,,,0,,7.5,1,1,dhy9fqbt,rmo1
pamm49pp,1292.0,False,0,0,60,23.0,,,,,,,,,,,,,,,,,,,,,0,,3.45,1,1,dhy9fqbt,rmo1
8wrtkw8x,1332.0,False,0,4,48,34.0,,,,,,,,,,,,,,,,,,,,,0,,5.1,1,1,dhy9fqbt,rmo1
a9ugwazt,1408.0,False,0,0,61,20.0,,,,,,,,,,,,,,,,,,,,,0,,3.0,1,1,dhy9fqbt,rmo1
q4ft5k0m,1421.0,False,0,4,29,29.0,,,,,,,,,,,,,,,,,,,,,0,,4.35,1,1,dhy9fqbt,rmo1
wvkk8qyk,1452.0,False,0,0,1,24.0,,,,,,,,,,,,,,,,,,,,,0,,0.0,1,1,dhy9fqbt,rmo1
